Statutory_Code,Literal_display,Code_Type,Charge_Type,Type,CJIS,Low Term (Months),Mid Term (Months),Upper Term (Months),AB109,Wobbler,Calcrim Instruction,
14484(b)(1) ,"Selling, buying, renting, giving, taking or otherwise trafﬁcking in any supplies bearing a name, mark or device ﬁled and published under this article and value exceeding $950",BPC,Crime,Felony,,16,24,36,No,No,,
14484(b)(2) ,"Obliterating, concealing, or removing from such supplies a name,mark or device ﬁled and published under this article and value exceeding $950",BPC,Crime,Felony,,16,24,36,No,No,,
16755,Violation of restraint of trade provisions,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
17511.9,Fraudulent telephonic sales methods,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
17550.19(b)-(c),Violation of seller of travel law ,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
21653,Unauthorized resale of goods by secondhand dealer exceeding $950,BPC,Crime,Felony,,16,24,36,No,No,,
22430(d) ,"Manufacture, sale, or transport of deceptive identiﬁcation document for fraudulent use ",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
22449(a) ,Immigration consulting by non-accredited consultant or attorney w/prior conviction,BPC,Crime,Felony,,16,24,36,No,No,,
22449(b),Price gouging in connection w/immigration consulting services w/pc,BPC,Crime,Felony,,16,24,36,No,No,,
25603,"Bring alcohol into prison/jail, etc. ",BPC,Crime,Felony,,16,24,36,No,Yes,,
892,"Rent skimming, ﬁve or more acts",CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1695.8,Violations by equity purchasers ,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1812.116(b)-(c),Violations by discount buying organization ,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1812.217,Marketing plan sales fraud,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
2945.4,Unfair dealing by mortgage foreclosure consultant,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
2985.2,Encumbering unrecorded real estate contracts,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
2985.3,Appropriation by seller of buyer's payment when payment by seller on obligation secured by encumbrance on real property ,CIV. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
2255,Corporation agent falsifying/destroying records w/intent to defraud,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
2256,Falsifying evidence used in investigating corporation affairs,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
6811,Fraudulent distribution by director of public beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
6812,Filing of false ﬁnancial reports by director or ofﬁcer of public beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
6813,Fraudulent acquisition of corporate property by director or ofﬁcer of public beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
6814,Deception of public ofﬁcer examining the organization of public beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
8812,Fraudulent distribution by director of mutual beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
8813,Filing of false ﬁnancial reports by director or ofﬁcer of mutual beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
8814,Fraudulent acquisition of corporate property by director or ofﬁcer of mutual beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
8815,Deception of public ofﬁcer examining the organization of mutual beneﬁt corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
12672,Fraudulent distribution by director of consumer cooperative corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
12673,Filing of false ﬁnancial reports by director or ofﬁcer of consumer cooperative corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
12674,Fraudulent acquisition of corporate property by director or ofﬁcer of consumer cooperative corporation,CORP. CODE,Crime,Felony,,16,24,36,No,Yes,,
12675,Deception of public ofﬁcer examining the organization of consumer cooperative corporation,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
14022(a) ,Unlawfully ask for or receive any commission or gratuity for personal use or beneﬁt or that of another person,CORP. CODE,Crime,Felony,,16,24,36,No,No,,
14022(b),Unlawfully borrow or use corporate assets,CORP. CODE,Crime,Felony,,16,24,36,No,No,,
14022(c) ,Unlawfully make or maintain a deposit of corporate funds w/another corporation,CORP. CODE,Crime,Felony,,16,24,36,No,No,,
14023,Purchasing or receiving corporate asset w/o paying fair market value,CORP. CODE,Crime,Felony,,16,24,36,No,No,,
22001,"Knowingly concurs in making, publishing, or posting a written document containing false or fraudulent statements",CORP. CODE,Crime,Felony,,16,24,36,No,No,,
22002(a),Fraudulent acquisition of property of joint stock ass'n,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
22002(b),"Falsifying books, records or documents of joint stock ass'n",CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25110,Unlawful sale of securities ,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25120,Unlawful sale of securities,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25130,Unlawful sale of securities,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25164,Representing that qualiﬁcation of document indicated verity,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25166,Making false statements to commissioner,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25210,Transacting securities w/o certiﬁcate,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25214(a),Employing suspended securities agent,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25216,Sale of security by fraudulent scheme by broker/dealer,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25218,Violation of equity rules by broker/dealer,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25230,Practicing by uncertiﬁed investment advisor,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25232.2,Employing suspended/disqualiﬁed investment advisor,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25234(a),Entering illegal investment advisory contract,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25235,Defrauding client by investment advisor,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25243,Misrepresenting certiﬁcation as approval by commissioner,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25245,Misrepresenting facts on report/application to commissioner,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25246,Requiring spouse's consent to transaction,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25300(a),Advertising sale of security w/o ﬁling,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25400,Churning,CORP. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
25401,Sale or offer to sell security by misrepresentation,CORP. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
25402,Insider trading,CORP. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
25404,"Altering, concealing, or falsifying entry in record w/intent to impede, obstruct, or inﬂuence enforcement of corporate securities law",CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25540(a),General violation of corporate securities law,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
25540(b),"Violation of Corp Code 25400, 25401, 25402, or related provisions",CORP. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
25541,Securities fraud,CORP. CODE,Crime,Felony,,24,36,60,Yes,Yes,,
27101,General violation of Security Owners Protection Law,CORP. CODE,Crime,Felony,,24,36,48,Yes,No,,
28880,Willful violation of Capital Access Company Law,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
29100,Making bucketing contract or keeping bucketing shop,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
29101,Use of price quotations in bucketing,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
29550(a),General violation of California commodity law,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
29550(b),Fraud in violation of Corp Code 29536,CORP. CODE,Crime,Felony,,24,36,48,Yes,Yes,,
31110,Unlawful offering of franchise for sale,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31200,Filing false report w/Franchise Commissioner,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31201,Misrepresenting facts in offering to sell franchise,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31202,Making false statement to obtain franchise exemption,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31203,Violating commissioner's order on sale of franchise,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31204(a) ,"Altering, mutilating, concealing, or entry in record to impede or inﬂuence the administration or enforcement of franchise laws",CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31204(b) ,"Making false statement in course of licensing, investigation, or examination to impede or inﬂuence the administration or enforcement of franchise laws",CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31210,Sale of franchise by unlicensed person,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31410,General violation of franchise investment law ,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
31411,Franchise fraud ,CORP. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
7054,Use of school district property for unlawful political activity,ED. CODE,Crime,Felony,,16,24,36,Yes,No,,
17312,Violation of or fraudulent statements in report required by school buildings approval laws,ED. CODE,Crime,Felony,,16,24,36,No,No,,
81144,Violation of or fraudulent statements in report required by school sites approval laws,ED. CODE,Crime,Felony,,16,24,36,No,No,,
18100(a),Allowing unqualiﬁed voter to register,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18100(b),Registering nonexistent person to vote,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18101,Knowingly completing registration form for ﬁctitious person,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18102,Knowingly accepting registration of ineligible person,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18106,Defacing party afﬁliation declaration on afﬁdavit of registration,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18110,Disclosure of home address of peace ofﬁcer or family member contained in conﬁdential voter registration card resulting in bodily injury to these persons,ELEC. CODE,Crime,Felony,,16,24,36,No,No,,
18200,Signing false name to nomination petition,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18201,"False making, destruction, or defacement of nomination papers",ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18203,Knowingly ﬁling false nomination papers,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18204,Willful suppression of nomination papers or declaration of candidacy,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18205,Bribe to induce person to withdraw/not to become candidate,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18310,Consideration to vote in certain way at political party caucus,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18311,Giving or receiving bribes,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18400,"Use, furnishing imitation ballot paper or ballot card",ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18403,"Person other than election ofﬁcial to receive, examine, or solicit voter to show voted ballot",ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18500,Abetting voting fraud,ELEC. CODE,Crime,Felony,,16,24,36,No,No,,
18501,Public ofﬁcial aiding illegal casting of votes,ELEC. CODE,Crime,Felony,,16,24,36,No,No,,
18502,Interference w/ofﬁcers or votes,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18520,Offer or promise of ofﬁce to induce voting or refrain from voting,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18521,Gift/consideration to induce person to vote/refrain from voting,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18522,Pay/offer/lend/contribute to induce voter to vote/refrain from voting,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18523,Election bribery,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18524,Boarding person w/intent to induce vote,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18540,Inﬂuencing voting by use of force,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18541,"Soliciting votes or discussing voter qualiﬁcations in proximity of polling place, or photographing or videotaping voter entering or exiting polling place",ELEC. CODE,Crime,Felony,,16,24,36,No,Yes,,
18543(a),Challenging person's right to vote w/o probable cause or on fraudulent grounds,ELEC. CODE,Crime,Felony,,16,24,36,No,Yes,,
18543(b),Conspiring to violate EC 18543(a),ELEC. CODE,Crime,Felony,,16,24,36,No,No,,
18544,Possessing ﬁrearm or uniformed police or security guards stationed near polling place,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18545,Hiring or arranging for another person in possession of ﬁrearm or uniformed police or security guards stationed near polling place,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18560,Fraudulent voting,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18561,"Procuring, advising vote of unqualiﬁed person",ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18564,Tampering w/voting machines,ELEC. CODE,Crime,Felony,,24,36,48,Yes,No,,
18565,Aiding or abetting violation of EC 18564,ELEC. CODE,Crime,Felony,,16,24,36,No,Yes,,
18566,"Forging, counterfeiting election returns",ELEC. CODE,Crime,Felony,,24,36,48,Yes,No,,
18567,Altering returns,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18568,Offenses at the polls,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18569,"Aiding, abetting violation of EC 18566, 18567, or 18568",ELEC. CODE,Crime,Felony,,16,24,36,No,Yes,,
18573,Deceiving voter,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18575,Unlawfully acting as election ofﬁcer,ELEC. CODE,Crime,Felony,,24,36,48,Yes,No,,
18578,Fraudulent absentee voting,ELEC. CODE,Crime,Felony,,16,24,36,Yes,No,,
18611,Circulating petition w/false/forged/ﬁctitious names,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18613,Signing name of another,ELEC. CODE,Crime,Felony,,24,36,48,Yes,No,,
18614,Filing petition w/false signatures,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18620,Soliciting or obtaining money to induce abandonment of petition,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18621,Receiving consideration for abandoning petition,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18640,Failure to surrender petitions,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18660(a),False afﬁdavits concerning recall petitions,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18661,False afﬁdavits concerning recall petitions by public ofﬁcial,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
18680,Misappropriate money to be used to promote/dispute election process ,ELEC. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
6306,"Importing into the state, or transporting or shipping within the state, a Mediterranean fruit ﬂy",F&A,Crime,Felony,,16,24,36,No,No,,
10786,Willful violation of provisions regarding swine disease control,F&A,Crime,Felony,,16,24,36,No,Yes,,
12996,Willful violation of provisions regarding pesticides creating hazard to health or environment ,F&A,Crime,Felony,,16,24,36,No,Yes,,
17551,Alter brand of animal with intent to steal ,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18841,Slaughter livestock/poultry w/o compliance w/inspection act w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18842,Sale or transport meat w/o inspection w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18843,Alteration/misbrand meat/poultry w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18844,Sale or transport uncleaned slaughtered poultry w/ intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18845,Violate director of agriculture's regulations w/intent to  defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18846,Counterfeit ofﬁcial mark/certiﬁcate under meat/poultry act w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18847,Forge ofﬁcial marks/acts under meat/poultry inspection act w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18848,Sell prepared meat/poultry w/o inspection stamp w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18849,Sell/transport improperly labeled carcass w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18850,Sell/transport livestock product not marked not human food w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18851,Sale of dead/diseased animals w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18852,Bribery of state meat/poultry inspectors w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18853,State meat/poultry inspector receiving bribe w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18854,Interfere w/inspector performing duty w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18855,Disobey subpoena/lawful order of director of agriculture w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18856,False statements/reports under meat/poultry inspection law w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18857,Tardy ﬁle of meat/poultry report under inspection law w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18932,"Violation of Meat and Poultry Inspection Act w/intent to defraud or mislead, or w/prior conviction",F&A,Crime,Felony,,16,24,36,Yes,Yes,,
18933,Adulteration of meat/poultry intended as human food,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
19440,Violation of provisions regarding horsemeat/pet foods w/intent to defraud or w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
19441,Adulteration of human food w/horsemeat or other pet foods,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
35283(a) ,Processing w/o pasteurization any milk or milk product requiring pasteurization,F&A,Crime,Felony,,6,ID,12,No,Yes,,
35283(b) ,Manufacturing or processing for resale of any milk or milk product in an unlicensed milk products plant,F&A,Crime,Felony,,6,ID,12,No,Yes,,
35283(c) ,Providing milk or milk products to any unlicensed person for the manufacturing or processing for resale of any milk or milk product,F&A,Crime,Felony,,6,ID,12,No,Yes,,
35283(d),Falsifying records required of Milk and Milk Products Act,F&A,Crime,Felony,,6,ID,12,No,Yes,,
80174,Willful violation of provisions regarding desert native plants w/prior conviction,F&A,Crime,Felony,,16,24,36,Yes,Yes,,
3009,Failure to render aid after shooting person while hunting,F&G,Crime,Felony,,16,24,36,No,No,,
4758,"Selling, possessing for sale, or purchasing of bear meat or other parts",F&G,Crime,Felony,,16,24,36,Yes,Yes,,
12001,Hunting w/revoked/suspended license,F&G,Crime,Felony,,16,24,36,No,No,,
12004(b),"Illegal hunting, possession, or sale of specified fish w/prior conviction",F&G,Crime,Felony,,16,24,36,Yes,Yes,,
12005,Sale of bear meat or other parts,F&G,Crime,Felony,,16,24,36,Yes,Yes,,
357,Examiner's failure to report insolvency or unsafe condition of bank,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
460,Making false statements in report required under Art. 6 (State Banking Account),FIN. CODE,Crime,Felony,,24,36,48,No,No,,
1323,Bribery of bank ofﬁcer or employee,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1324,Misappropriation of bank asserts,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1325,False statements or omission of required entries by bank ofﬁcer or employee,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1332,Misapplication of bank assets,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1336,Deposit of bank funds on condition of loan or advance,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1339,False entries or concealment of records by bank ofﬁcer or employee,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1367,Making or procuring unlawful extension of credit,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1456,Unlawful certiﬁcation of check,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1611,Mingling trust funds held by bank w/corporate assets,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
1861,Price ﬁxing of commodities,FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
1880,Corporate embezzlement,FIN. CODE,Crime,Felony,,24,36,48,No,No,,
1881,Misrepresenting state liability for bonds,FIN. CODE,Crime,Felony,,16,24,36,Yes,No,,
2152(a) ,"False statement, misrepresentation, or false certiﬁcation in ﬁnancial record",FIN. CODE,Crime,Felony,,16,24,36,No,No,,
2152(b),Engaging in ﬁnancial transactions w/o license,FIN. CODE,Crime,Felony,,16,24,36,No,No,,
5300,General violation of savings & loan ass'n laws,FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
5302(b),Violation of commissioner's order under Fin Code 8201,FIN. CODE,Crime,Felony,,24,36,48,Yes,Yes,,
5303,Making false entry or omitting or changing entry in savings ass'n records w/intent to deceive,FIN. CODE,Crime,Felony,,24,36,48,Yes,Yes,,
5304,"Bribery or extortion exceeding $1,000 in connection w/savings ass'n",FIN. CODE,Crime,Felony,,24,36,48,Yes,Yes,,
5304,"Bribery or extortion not exceeding $1,000 in connection w/savings ass'n",FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
5305,Misapplication of savings ass'n assets exceeding $250,FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
5305,Misapplication of savings ass'n assets not exceeding $250,FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
5306,Executing scheme to defraud savings ass'n,FIN. CODE,Crime,Felony,,24,36,48,No,Yes,,
5307,Harming savings ass'n ﬁnancial standing by false statement or rumor,FIN. CODE,Crime,Felony,,16,24,36,Yes,Yes,,
